numero,CSD_code,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability
78330,ECOZAA,-3224.104109,-0.078348,3.0225,1.19148,0.18254,-0.21451,-0.03197,298.735826
78333,BAVWIH,-4144.577021,-0.187903,10.4375,1.17936,0.1045,-0.18333,-0.07883,510.591051
78335,LIDKUE,-3821.769371,-0.160452,7.1013,0.9739,0.14991,-0.19593,-0.04602,485.120304
78336,TICMOJ,-4092.14659,-0.161246,18.2874,1.10642,0.11236,-0.18991,-0.07755,447.399034
78338,XAXBIJ,-2753.647733,-0.057208,3.9635,1.19286,0.24525,-0.21986,0.02539,184.957877
78339,DAGNAC,-7313.706527,-0.051596,7.3659,0.95765,0.23845,-0.22837,0.01008,169.661984
78340,OLUHAE,-4332.832624,-0.158289,7.0158,1.11924,0.1213,-0.19071,-0.06941,457.520275
78343,XUCHEJ,-3566.797535,-0.141955,6.9027,1.07065,0.10665,-0.17073,-0.06408,371.508289
78344,BORJEY,-3994.261249,-0.191331,5.5033,1.18908,0.08339,-0.16641,-0.08302,576.588426
78346,SAGYEH,-2885.735719,-0.066347,8.0991,1.15976,0.10367,-0.2017,-0.09803,252.058925
78348,GELJOX,-3704.536641,-0.161499,10.3145,1.06765,0.0336,-0.15898,-0.12538,440.619692
78349,UWIBUY,-5447.303317,-0.16406,13.7358,1.21362,0.16315,-0.22583,-0.06268,446.48333
78351,ILIJAO,-3348.115814,-0.064369,7.6052,0.95136,0.14684,-0.209,-0.06216,207.105342
78352,RAXDAV,-3412.034531,-0.064296,20.3655,0.87349,0.07902,-0.16757,-0.08855,259.029631
78353,SODZOC,-3440.509667,-0.05443,11.5273,0.94864,0.09881,-0.20316,-0.10435,215.59187
78355,EXUZUT,-4455.167578,-0.169286,0.4798,1.17758,0.12113,-0.18152,-0.06039,502.127134
78356,VAFTUR,-4870.862482,-0.244357,4.837,1.19396,0.06387,-0.16295,-0.09908,824.757146
78357,LECWUO,-4463.982733,-0.182893,8.9171,0.67936,0.14206,-0.19231,-0.05025,478.217344
78358,JALJIS,-3382.586663,-0.053438,10.6431,0.94888,0.16324,-0.21679,-0.05355,208.572497
78359,DUVHEJ,-5231.220613,-0.078328,8.1513,0.98712,0.1008,-0.31256,-0.21176,253.486397
78360,DARQIX,-3538.468816,-0.152506,2.8341,1.1481,0.15143,-0.1914,-0.03997,439.556105
78361,ULOWOH,-3368.93883,-0.109478,13.2101,1.1246,0.15916,-0.31225,-0.15309,341.965214
78362,LOPVET,-4629.794619,-0.182911,30.6772,1.16919,0.02742,-0.16051,-0.13309,480.45927
78363,FAPDOR,-4502.973472,-0.281936,0.0911,1.35363,0.11246,-0.17627,-0.06381,686.26848
78364,HUDNIE,-3048.061822,-0.128255,4.6775,1.19234,0.10551,-0.16875,-0.06324,360.494126
78366,XOCKUX,-3306.209095,-0.046653,8.438,0.82651,0.12644,-0.21958,-0.09314,215.339901
78368,BIZWAK,-5094.605811,-0.114224,1.5762,0.75783,0.11111,-0.08517,0.02594,401.394278
78370,OLUKAI,-3498.437837,-0.053377,7.4172,0.96664,0.16927,-0.23796,-0.06869,221.578694
78371,IZEVIT,-4145.390552,-0.109894,0.1345,1.14753,0.09733,-0.20776,-0.11043,373.790759
78372,RIKYAO,-3239.733054,-0.153121,7.4578,1.16889,0.08191,-0.14637,-0.06446,403.989447
78373,QIYKOB,-4048.893385,-0.171796,17.4008,0.93883,0.07165,-0.17198,-0.10033,463.311277
78374,FEJPIV,-3667.418729,-0.18981,3.2492,1.13309,0.13563,-0.18721,-0.05158,473.208736
78377,XEVWUR,-5221.263181,-0.225544,3.3211,1.26337,0.08608,-0.17031,-0.08423,749.140503
78379,FATJUG,-4086.329408,-0.101097,9.2702,0.9369,0.14795,-0.17397,-0.02602,327.218598
